강원도 강릉시 교동	140-16	140	16	강릉역 블루핀	월세	22	202204	20	300	50	13	2020	강릉대로 285	-	-	-
서울특별시 은평구 응암동	Aug-91	91	8	CJ드림시티(91-8)	월세	23.04	202204	2	"2,000"	45	2	2004	은평로 85	-	-	-
서울특별시 은평구 응암동	Aug-91	91	8	CJ드림시티(91-8)	월세	22.88	202204	9	500	55	7	2004	은평로 85	-	-	-
서울특별시 은평구 응암동	Aug-91	91	8	CJ드림시티(91-8)	월세	23.04	202204	13	"1,000"	50	14	2004	은평로 85	-	-	-
서울특별시 은평구 응암동	Aug-91	91	8	CJ드림시티(91-8)	월세	23.04	202204	26	"1,000"	50	12	2004	은평로 85	-	-	-
서울특별시 은평구 응암동	Aug-91	91	8	CJ드림시티(91-8)	월세	23.04	202204	27	500	55	8	2004	은평로 85	-	-	-
서울특별시 은평구 응암동	Aug-91	91	8	CJ드림시티(91-8)	월세	23.04	202204	28	"1,000"	50	12	2004	은평로 85	-	-	-
서울특별시 강남구 대치동	945-29	945	29	CO-OP Residence/삼성역	전세	13.96	202204	9	"11,000"	0	2	2004	테헤란로92길 13	-	-	-
서울특별시 강남구 대치동	945-29	945	29	CO-OP Residence/삼성역	월세	13.96	202204	11	"3,000"	38	10	2004	테헤란로92길 13	-	-	-
서울특별시 관악구 봉천동	861-7	861	7	CO-OP RESIDENCE/서울대입구	월세	26.67	202204	3	"1,000"	65	13	2005	봉천로 472	-	-	-
서울특별시 관악구 봉천동	861-7	861	7	CO-OP RESIDENCE/서울대입구	월세	17.19	202204	14	500	50	4	2005	봉천로 472	-	-	-
서울특별시 관악구 봉천동	861-7	861	7	CO-OP RESIDENCE/서울대입구	월세	17.19	202204	16	300	50	2	2005	봉천로 472	-	-	-
서울특별시 관악구 봉천동	861-7	861	7	CO-OP RESIDENCE/서울대입구	월세	27.54	202204	26	"1,000"	65	6	2005	봉천로 472	-	-	-
서울특별시 관악구 봉천동	861-7	861	7	CO-OP RESIDENCE/서울대입구	월세	17.19	202204	28	500	50	15	2005	봉천로 472	-	-	-
서울특별시 영등포구 양평동2가	43-14	43	14	CO-OP Residence/오목교	전세	16.98	202204	4	"12,000"	0	2	2004	영등포로3길 23	-	-	-
인천광역시 부평구 부평동	116-12	116	12	CS캐슬	전세	58.76	202204	2	"21,500"	0	10	2016	부흥로365번길 21	-	-	-
서울특별시 영등포구 여의도동	17-16	17	16	D.S라르	전세	19.45	202204	20	"23,000"	0	4	2021	국회대로62길 11	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	1	"1,000"	70	5	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	3	"1,000"	70	5	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	8	"3,000"	70	6	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	14	"1,000"	75	7	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	21	"3,000"	63	7	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	22	"5,000"	55	6	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	21.61	202204	22	"1,200"	75	6	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	22	"3,000"	70	7	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	25	"1,000"	75	6	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	27	"2,000"	65	5	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	27	"5,000"	50	4	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	28	"3,000"	65	7	2022	남부순환로181길 33	-	-	-
서울특별시 관악구 신림동	1423-13	1423	13	DH TOWER	월세	19.9	202204	30	"1,000"	70	4	2022	남부순환로181길 33	-	-	-
서울특별시 마포구 상암동	1653	1653	0	DMC 이안상암2단지	전세	89.29	202204	1	"55,000"	0	27	2007	월드컵북로 361	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	25.69	202204	1	"10,000"	25	14	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	22.86	202204	1	"3,000"	46	10	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	23.35	202204	1	"3,000"	46	10	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	25.6	202204	1	"10,000"	25	10	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	22.86	202204	13	"9,000"	20	14	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	25.6	202204	20	"10,000"	25	11	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	25.6	202204	21	"1,000"	60	5	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	23.35	202204	22	"9,000"	20	13	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	23.35	202204	25	500	63	11	2021	사상로233번길 26	-	-	-
부산광역시 사상구 괘법동	524-34	524	34	DR 에코시티2	월세	22.86	202204	27	"9,000"	20	15	2021	사상로233번길 26	-	-	-
부산광역시 부산진구 범천동	839-37	839	37	DR에코시티2	전세	20.09	202204	18	"12,000"	0	2	2022	자유평화로3번길 14-11	-	-	-
부산광역시 부산진구 범천동	839-37	839	37	DR에코시티2	전세	20.97	202204	21	"10,000"	0	7	2022	자유평화로3번길 14-11	-	-	-
부산광역시 부산진구 범천동	839-37	839	37	DR에코시티2	전세	21.62	202204	25	"11,000"	0	7	2022	자유평화로3번길 14-11	-	-	-
부산광역시 부산진구 범천동	839-37	839	37	DR에코시티2	전세	21.62	202204	26	"11,000"	0	7	2022	자유평화로3번길 14-11	-	-	-
경상북도 경주시 동천동	920-6	920	6	DS 오피스텔	월세	55.53	202204	18	400	40	3	1996	알천북로 289	-	-	-
부산광역시 해운대구 중동	1632	1632	0	DSPARK	월세	62.09	202204	9	"1,000"	95	14	2017	 	-	-	-
경기도 부천시 여월동	333	333	0	DS타워	월세	59.28	202204	11	"24,000"	25	2	2015	 	-	-	-
대전광역시 유성구 관평동	1342	1342	0	DTVan 오피스텔	월세	49.53	202204	21	"6,144"	5	5	2011	테크노1로 12-22	-	-	-
대전광역시 유성구 관평동	1342	1342	0	DTVan 오피스텔	월세	31.92	202204	22	"6,000"	15	3	2011	테크노1로 12-22	-	-	-
경기도 수원팔달구 인계동	1019-6	1019	6	ELYSIA	전세	35.94	202204	18	"16,000"	0	5	2018	경수대로466번길 33	-	-	-
서울특별시 도봉구 창동	585-1	585	1	ESA홈타운	월세	72.21	202204	12	"5,000"	80	3	2005	덕릉로59차길 37	-	-	-
서울특별시 금천구 독산동	1007-13	1007	13	e편한세상 독산 더타워	월세	26.22	202204	4	"1,500"	57	29	2019	범안로 1212	-	-	-
서울특별시 금천구 독산동	1007-13	1007	13	e편한세상 독산 더타워	전세	26.22	202204	7	"18,000"	0	20	2019	범안로 1212	-	-	-
서울특별시 금천구 독산동	1007-13	1007	13	e편한세상 독산 더타워	전세	26.22	202204	16	"19,500"	0	36	2019	범안로 1212	-	-	-
서울특별시 금천구 독산동	1007-13	1007	13	e편한세상 독산 더타워	전세	26.51	202204	16	"15,000"	0	26	2019	범안로 1212	-	-	-
서울특별시 금천구 독산동	1007-13	1007	13	e편한세상 독산 더타워	월세	26.22	202204	29	"10,000"	40	15	2019	범안로 1212	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	월세	25.79	202204	13	300	40	3	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	전세	25.35	202204	15	"7,000"	0	15	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	월세	28.2	202204	16	500	45	4	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	월세	25.79	202204	20	500	42	16	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	전세	22.44	202204	23	"7,000"	0	4	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	월세	22.44	202204	25	100	50	8	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	월세	25.35	202204	28	800	40	7	2019	 	-	-	-
부산광역시 동구 초량동	1218	1218	0	e편한세상 부산항	전세	25.79	202204	28	"9,200"	0	7	2019	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	월세	29.97	202204	3	"1,000"	88	4	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	월세	18.74	202204	6	"1,000"	65	10	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	월세	18.74	202204	8	"12,000"	25	12	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	월세	18.74	202204	12	"14,500"	13	15	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	전세	18.74	202204	13	"12,500"	0	15	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	월세	18.74	202204	19	500	60	13	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	전세	18.74	202204	21	"13,000"	0	15	2017	 	-	-	-
경기도 용인수지구 풍덕천동	1209	1209	0	e편한세상 수지	월세	18.74	202204	23	500	65	13	2017	 	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	24.9	202204	7	"3,000"	58	24	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	전세	30.33	202204	7	"27,300"	0	26	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	전세	20.38	202204	9	"16,000"	0	12	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	30.33	202204	15	"1,000"	74	18	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	30.33	202204	15	"1,000"	67	16	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	30.33	202204	16	"3,400"	62	25	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	전세	35.63	202204	17	"30,000"	0	27	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	전세	24.9	202204	18	"12,600"	0	26	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	전세	30.19	202204	20	"27,700"	0	4	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	전세	30.33	202204	20	"23,100"	0	16	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	24.9	202204	22	500	55	17	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	30.33	202204	22	"1,000"	66	6	2019	미사강변중앙로 200	-	-	-
경기도 하남시 망월동	1094	1094	0	e편한세상 시티 미사	월세	20.38	202204	25	500	47	8	2019	미사강변중앙로 200	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	30.67	202204	1	"15,500"	0	20	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	23.78	202204	1	300	39	11	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	23.78	202204	2	"1,000"	27	9	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	30.67	202204	6	"16,000"	0	18	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	23.78	202204	9	"2,000"	30	10	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	23.78	202204	9	"10,000"	0	17	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	30.65	202204	10	500	58	20	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	23.78	202204	11	"7,717"	0	4	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	23.78	202204	17	"6,615"	0	10	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	43.41	202204	20	"16,400"	0	6	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	23.78	202204	21	300	35	9	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	30.65	202204	22	"16,000"	0	15	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	23.78	202204	25	500	50	18	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	전세	23.78	202204	26	"9,839"	0	6	2018	김포한강9로75번길 158	-	-	-
경기도 김포시 구래동	Jan-82	6882	1	e편한세상 시티 한강신도시	월세	30.67	202204	26	500	53	13	2018	김포한강9로75번길 158	-	-	-
부산광역시 연제구 연산동	2380	2380	0	e편한세상 연산 더퍼스트	월세	52.11	202204	30	"2,000"	105	5	2021	반송로 40	-	-	-
경기도 성남분당구 야탑동	264-1	264	1	FOREST HOUSE	월세	68.13	202204	15	"2,000"	110	3	2003	벌말로30번길 46	-	-	-
경기도 화성시 오산동	969-5	969	5	GTX광장프라자	전세	20.02	202204	5	"12,500"	0	6	2017	 	-	-	-
경기도 화성시 오산동	969-5	969	5	GTX광장프라자	전세	19.06	202204	6	"13,500"	0	9	2017	 	-	-	-
경기도 화성시 오산동	969-5	969	5	GTX광장프라자	월세	19.06	202204	6	500	50	7	2017	 	-	-	-
경기도 화성시 오산동	969-5	969	5	GTX광장프라자	전세	19.06	202204	9	"13,000"	0	7	2017	 	-	-	-
경기도 화성시 오산동	969-5	969	5	GTX광장프라자	전세	19.06	202204	23	"13,500"	0	7	2017	 	-	-	-
경기도 화성시 오산동	969-5	969	5	GTX광장프라자	월세	19.06	202204	24	500	55	12	2017	 	-	-	-
서울특별시 금천구 가산동	535-7	535	7	G밸리 하우스디 어반	전세	19.24	202204	27	"15,000"	0	3	2019	서부샛길 714	-	-	-
인천광역시 부평구 부평동	222-3	222	3	H.B엘림캐슬	전세	59.16	202204	9	"20,685"	0	3	2019	시장로 65	-	-	-
인천광역시 부평구 부평동	222-3	222	3	H.B엘림캐슬	전세	48.4	202204	10	"15,750"	0	5	2019	시장로 65	-	-	-
대구광역시 남구 대명동	Feb-75	2275	2	HanaStay 대명	월세	42.38	202204	15	"1,000"	60	11	2021	명덕로 50	-	-	-
대구광역시 남구 대명동	Feb-75	2275	2	HanaStay 대명	월세	42.38	202204	25	800	61	7	2021	명덕로 50	-	-	-
대구광역시 남구 대명동	Feb-75	2275	2	HanaStay 대명	월세	42.38	202204	26	800	61	8	2021	명덕로 50	-	-	-
대구광역시 남구 대명동	Feb-75	2275	2	HanaStay 대명	월세	42.38	202204	29	"1,000"	60	9	2021	명덕로 50	-	-	-
인천광역시 부평구 부평동	209-3	209	3	HB엘림캐슬	전세	52.87	202204	26	"21,600"	0	3	2017	장제로102번길 19	-	-	-
서울특별시 금천구 시흥동	998-10	998	10	HEY NEST	전세	20.14	202204	22	"12,000"	0	6	2003	금하로5길 13	-	-	-
서울특별시 금천구 시흥동	998-10	998	10	HEY NEST	전세	19.34	202204	29	"12,000"	0	2	2003	금하로5길 13	-	-	-
경기도 하남시 신장동	427-159	427	159	ICT 하남	전세	43.27	202204	1	"24,500"	0	4	2021	신장로 114	-	-	-
경기도 하남시 신장동	427-159	427	159	ICT 하남	전세	40.86	202204	23	"23,500"	0	3	2021	신장로 114	-	-	-
경기도 하남시 신장동	427-159	427	159	ICT 하남	전세	22.74	202204	26	"14,000"	0	8	2021	신장로 114	-	-	-
경기도 화성시 반송동	May-87	87	5	i-palace	월세	17.82	202204	2	500	40	5	2016	동탄중심상가2길 30	-	-	-
경기도 화성시 반송동	May-87	87	5	i-palace	월세	17.83	202204	4	500	40	8	2016	동탄중심상가2길 30	-	-	-
서울특별시 송파구 방이동	Apr-35	35	4	I-SPACE 잠실2	월세	29.6	202204	5	"7,000"	40	10	2003	올림픽로 354	-	-	-
서울특별시 송파구 방이동	Apr-35	35	4	I-SPACE 잠실2	전세	29.6	202204	14	"18,900"	0	7	2003	올림픽로 354	-	-	-
서울특별시 송파구 방이동	Apr-35	35	4	I-SPACE 잠실2	월세	29.6	202204	14	"1,000"	70	4	2003	올림픽로 354	-	-	-
서울특별시 송파구 방이동	Apr-35	35	4	I-SPACE 잠실2	전세	29.6	202204	29	"16,530"	0	4	2003	올림픽로 354	-	-	-
서울특별시 강남구 역삼동	720-13	720	13	J tree타워	월세	18.27	202204	20	"1,000"	110	10	2021	언주로89길 9	-	-	-
서울특별시 강남구 역삼동	720-13	720	13	J tree타워	월세	18.27	202204	25	"3,000"	90	6	2021	언주로89길 9	-	-	-
인천광역시 부평구 부평동	150-50	150	50	JH타워Ⅱ	전세	47.37	202204	19	"19,000"	0	11	null	 	-	-	-
인천광역시 남동구 간석동	214-11	214	11	JH타워Ⅲ	전세	59.02	202204	2	"23,000"	0	8	null	남동대로934번길 19	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	12	"11,600"	0	7	2020	남동대로 353	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	16	"11,600"	0	8	2020	남동대로 353	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	16	"11,600"	0	7	2020	남동대로 353	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	16	"11,600"	0	8	2020	남동대로 353	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	20	"11,600"	0	8	2020	남동대로 353	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	22	"11,600"	0	7	2020	남동대로 353	-	-	-
인천광역시 남동구 남촌동	624-3	624	3	JK루체스타	전세	20.75	202204	28	"11,600"	0	8	2020	남동대로 353	-	-	-
경기도 부천시 심곡동	365-11	365	11	JN팰리스	전세	61.05	202204	17	"15,750"	0	2	2011	장말로 369	-	-	-
부산광역시 해운대구 우동	762-49	762	49	JS officetel A	월세	19.55	202204	18	500	45	9	2019	해운대해변로197번길 10-4	-	-	-
부산광역시 사상구 주례동	183-7	183	7	JS signature	월세	16.72	202204	23	"2,000"	35	2	2020	주례로10번길 9-5	-	-	-
부산광역시 사상구 주례동	183-7	183	7	JS signature	월세	16.72	202204	23	"1,000"	45	5	2020	주례로10번길 9-5	-	-	-
경기도 부천시 춘의동	205-33	205	33	JY팰리스	전세	67.96	202204	7	"26,500"	0	7	2017	조마루로385번길 39	-	-	-
경기도 부천시 춘의동	205-33	205	33	JY팰리스	월세	68.22	202204	9	"2,500"	80	9	2017	조마루로385번길 39	-	-	-
인천광역시 부평구 부평동	149-7	149	7	J캐슬	전세	53.45	202204	19	"20,400"	0	9	2016	부평문화로105번길 18-2	-	-	-
인천광역시 부평구 부평동	149-7	149	7	J캐슬	전세	59.95	202204	21	"16,000"	0	6	2016	부평문화로105번길 18-2	-	-	-
인천광역시 남동구 만수동	866-11	866	11	J탑스빌	전세	59.88	202204	19	"15,700"	0	3	null	만수서로11번길 4-9	-	-	-
인천광역시 남동구 만수동	866-13	866	13	J탑스빌	전세	59.88	202204	25	"13,000"	0	5	null	만수서로11번길 4-13	-	-	-
경기도 광명시 일직동	511-3	511	3	K SQUARE	월세	25.88	202204	4	500	49	10	2016	 	-	-	-
경기도 광명시 일직동	511-3	511	3	K SQUARE	전세	25.53	202204	9	"12,000"	0	9	2016	 	-	-	-
경기도 광명시 일직동	511-3	511	3	K SQUARE	전세	26.58	202204	20	"14,500"	0	9	2016	 	-	-	-
서울특별시 마포구 성산동	590-4	590	4	KCC상암스튜디오380	전세	20.35	202204	2	"15,500"	0	13	2014	 	-	-	-
